332 2127
1 0 0.0436
3 0 0.0767
7 0 0.1026
3 1 0.0515
7 1 0.0866
4 2 0.0269
7 2 0.0843
7 3 0.0365
25 3 0.0915
46 3 0.2109
7 4 0.0849
6 5 0.0197
7 5 0.0683
12 5 0.0143
7 6 0.0488
12 6 0.014
12 7 0.0604
15 7 0.0239
22 7 0.0478
23 7 0.0414
25 7 0.083
26 7 0.0351
27 7 0.1099
29 7 0.0596
33 7 0.0774
34 7 0.0863
35 7 0.1093
36 7 0.1999
37 7 0.1622
46 7 0.1926
64 7 0.204
66 7 0.3284
111 7 0.3847
117 7 0.3655
143 7 0.2746
200 7 0.2654
247 7 0.3059
312 7 0.3829
9 8 0.003
10 8 0.0022
11 8 0.0037
12 8 0.0053
10 9 0.0011
11 9 0.001
12 9 0.0023
12 10 0.0033
12 11 0.002
13 12 0.0009
14 12 0.0011
16 12 0.006
17 12 0.0055
18 12 0.0095
19 12 0.0112
20 12 0.0098
21 15 0.0311
18 16 0.0038
19 16 0.0053
19 18 0.0018
25 21 0.0281
23 22 0.01
25 24 0.0057
28 25 0.0131
30 25 0.017
32 25 0.0322
46 25 0.1216
34 27 0.0425
30 28 0.0125
32 28 0.0247
46 28 0.1134
33 29 0.0184
31 30 0.0043
32 31 0.0113
46 32 0.0895
35 34 0.0232
37 35 0.0549
37 36 0.0478
46 38 0.013
64 38 0.0306
141 38 0.0835
44 39 0.018
45 39 0.0167
49 39 0.0133
54 39 0.02
60 39 0.0242
61 39 0.0377
143 39 0.0728
52 40 0.0145
66 40 0.0522
165 40 0.0831
46 41 0.0089
66 42 0.0364
66 43 0.0356
45 44 0.0314
46 44 0.0244
49 44 0.0187
53 44 0.0086
54 44 0.0299
57 44 0.0122
58 44 0.0152
60 44 0.0302
61 44 0.049
62 44 0.037
64 44 0.0323
66 44 0.1266
82 44 0.0393
117 44 0.1602
141 44 0.0655
143 44 0.0712
165 44 0.0988
200 44 0.0986
49 45 0.0149
54 45 0.009
61 45 0.0215
62 45 0.0163
66 45 0.0958
143 45 0.0641
47 46 0.0107
48 46 0.0154
53 46 0.0273
55 46 0.0122
57 46 0.0288
58 46 0.0197
59 46 0.0242
64 46 0.0178
66 46 0.1502
73 46 0.031
74 46 0.032
82 46 0.0483
85 46 0.0555
93 46 0.1804
108 46 0.2658
111 46 0.2046
117 46 0.1828
122 46 0.1841
130 46 0.2139
141 46 0.0714
143 46 0.0825
146 46 0.2535
149 46 0.2555
151 46 0.2244
165 46 0.115
168 46 0.077
171 46 0.1606
175 46 0.2078
176 46 0.2424
181 46 0.1826
182 46 0.0836
196 46 0.0929
200 46 0.0938
202 46 0.0963
218 46 0.1144
229 46 0.2408
231 46 0.2028
244 46 0.1281
245 46 0.1301
247 46 0.1305
252 46 0.1334
254 46 0.2336
257 46 0.1437
260 46 0.1894
262 46 0.1429
292 46 0.216
310 46 0.2976
312 46 0.3086
315 46 0.3074
48 47 0.0048
64 47 0.0212
55 48 0.0087
59 48 0.0119
54 49 0.0112
60 49 0.0123
61 49 0.0302
62 49 0.0185
66 49 0.1082
143 49 0.0596
165 49 0.0828
66 50 0.0267
81 50 0.0319
117 50 0.0655
165 50 0.0796
66 51 0.0194
66 52 0.0424
81 52 0.0367
143 52 0.0809
165 52 0.0701
57 53 0.0036
58 53 0.0113
59 53 0.0087
64 53 0.0301
82 53 0.0307
60 54 0.0067
61 54 0.0191
62 54 0.0089
143 54 0.0556
57 55 0.018
58 55 0.0078
59 55 0.0124
64 55 0.0141
68 56 0.0198
69 56 0.0199
70 56 0.0197
117 56 0.0435
58 57 0.0107
59 57 0.0069
64 57 0.0294
82 57 0.0271
59 58 0.0046
63 58 0.0057
64 58 0.0189
82 58 0.0297
143 58 0.0638
63 59 0.0048
64 59 0.0225
61 60 0.0201
62 60 0.007
62 61 0.0133
66 61 0.0786
143 61 0.0511
165 61 0.0605
66 62 0.0918
143 62 0.0479
165 62 0.0656
64 63 0.0191
65 64 0.0068
66 64 0.1498
73 64 0.0147
74 64 0.0143
82 64 0.0378
86 64 0.0223
107 64 0.0307
111 64 0.2025
115 64 0.0331
117 64 0.18
141 64 0.0572
143 64 0.0709
150 64 0.0485
165 64 0.1059
168 64 0.06
175 64 0.2031
182 64 0.066
196 64 0.0752
200 64 0.0761
202 64 0.0787
218 64 0.0984
244 64 0.1109
245 64 0.1131
247 64 0.1133
252 64 0.1163
254 64 0.2254
257 64 0.128
260 64 0.1779
262 64 0.1259
292 64 0.2037
86 65 0.0156
115 65 0.0271
150 65 0.0422
70 66 0.0262
75 66 0.0508
77 66 0.01
78 66 0.0138
81 66 0.0219
89 66 0.0258
93 66 0.0327
94 66 0.076
98 66 0.0435
108 66 0.1156
110 66 0.0465
111 66 0.0563
117 66 0.0388
118 66 0.1082
119 66 0.0297
122 66 0.0406
127 66 0.0321
130 66 0.0667
132 66 0.0368
135 66 0.1058
143 66 0.1033
145 66 0.1061
146 66 0.105
149 66 0.1069
151 66 0.0783
152 66 0.0829
158 66 0.0703
160 66 0.0661
161 66 0.1033
165 66 0.077
166 66 0.0607
171 66 0.054
173 66 0.1004
175 66 0.0708
176 66 0.0983
178 66 0.1005
181 66 0.0604
182 66 0.1562
188 66 0.0745
196 66 0.1629
200 66 0.1639
202 66 0.163
216 66 0.09
218 66 0.1399
229 66 0.1115
231 66 0.0954
232 66 0.1163
245 66 0.1617
247 66 0.1655
252 66 0.1651
254 66 0.1163
257 66 0.1454
260 66 0.1162
262 66 0.1685
273 66 0.1518
291 66 0.1431
292 66 0.1428
295 66 0.146
298 66 0.1685
300 66 0.1705
306 66 0.1847
309 66 0.1917
310 66 0.1939
312 66 0.3992
79 67 0.0134
95 67 0.0223
108 67 0.0259
117 67 0.1008
124 67 0.0323
146 67 0.0478
70 68 0.0084
72 68 0.0077
117 68 0.0283
111 69 0.0267
117 69 0.0289
72 70 0.003
76 70 0.0053
89 70 0.0143
110 70 0.0252
111 70 0.0326
117 70 0.024
95 71 0.0171
117 71 0.0788
145 71 0.0355
146 71 0.0365
151 71 0.0523
161 71 0.0452
176 71 0.0572
76 72 0.0026
89 72 0.0115
93 72 0.0129
117 72 0.022
74 73 0.0106
115 73 0.0203
200 73 0.0637
86 74 0.0085
107 74 0.0168
115 74 0.0202
150 74 0.0348
165 74 0.1021
200 74 0.0622
81 75 0.0325
97 75 0.0204
117 75 0.0797
141 75 0.0717
143 75 0.0551
93 76 0.0104
117 76 0.0195
78 77 0.0063
117 77 0.0298
117 78 0.025
100 79 0.0198
108 79 0.0128
117 79 0.091
145 79 0.0329
146 79 0.0344
151 79 0.0588
161 79 0.044
175 79 0.0853
176 79 0.0579
84 80 0.0069
117 80 0.1173
143 80 0.0277
165 80 0.0472
260 80 0.1239
105 81 0.0113
117 81 0.0475
129 81 0.0376
139 81 0.0261
143 81 0.0821
165 81 0.0551
181 81 0.0564
84 82 0.0211
85 82 0.0098
96 82 0.0195
103 82 0.0136
117 82 0.145
143 82 0.0343
165 82 0.0681
200 82 0.0649
247 82 0.0927
111 83 0.0131
117 83 0.0245
96 84 0.0064
143 84 0.0261
260 84 0.1272
143 85 0.0286
117 87 0.0142
173 88 0.0386
93 89 0.0075
111 89 0.0317
117 89 0.0133
151 89 0.0528
165 89 0.0855
181 89 0.0422
91 90 0.008
94 90 0.0057
108 90 0.0348
111 90 0.0302
117 90 0.0532
118 90 0.0278
145 90 0.0296
146 90 0.0293
149 90 0.0309
151 90 0.0283
161 90 0.0334
173 90 0.038
175 90 0.0527
176 90 0.0399
178 90 0.0408
220 90 0.0694
229 90 0.0773
254 90 0.0968
94 91 0.0135
108 91 0.027
111 91 0.0379
117 91 0.0611
118 91 0.0207
142 91 0.0269
145 91 0.025
146 91 0.0251
149 91 0.0264
151 91 0.0326
161 91 0.0312
173 91 0.0377
175 91 0.0584
178 91 0.0409
181 91 0.0837
220 91 0.0704
