15 105
0 1 56.25854071815929
0 2 33.739073615798446
0 3 81.93867415791627
0 4 69.53893954963807
0 5 46.10113217365202
0 6 34.82286071303978
0 7 75.18094543442004
0 8 95.81650199868483
0 9 63.989645048612815
0 10 63.04202222503484
0 11 87.212646177575
0 12 34.21931860716776
0 13 88.22138712670656
0 14 72.6078043952827
1 2 20.896027742289498
1 3 44.26803611054896
1 4 92.73882523914983
1 5 25.937646049547773
1 6 62.0680384532605
1 7 69.17708468479708
1 8 78.38067436150499
1 9 28.395431870200987
1 10 34.96207362515341
1 11 53.03955546351055
1 12 89.25410177474392
1 13 59.002387068605024
1 14 62.601926322360654
2 3 98.02374418667232
2 4 86.91551907522185
2 5 91.27721824011793
2 6 96.2422838141548
2 7 42.56878526028001
2 8 56.813989388862055
2 9 62.2338549971603
2 10 99.65127702930552
2 11 47.37223735629681
2 12 71.01102143874314
2 13 36.807822079723245
2 14 67.13241707054365
3 4 37.80345542554259
3 5 92.51271255010624
3 6 64.93805675892567
3 7 71.35977696174251
3 8 25.345843228961815
3 9 41.7036886384558
3 10 63.34580583484991
3 11 61.19632774320573
3 12 65.44485396269815
3 13 78.44477889971006
3 14 66.10101772538948
4 5 55.09815070537189
4 6 29.960082899498552
4 7 33.91132823164166
4 8 74.44747016399046
4 9 48.191696703737954
4 10 99.46134514490167
4 11 54.393560435309986
4 12 26.366008721199854
4 13 22.091046821383962
4 14 43.645920249681126
5 6 57.290747992176975
5 7 46.298411624743196
5 8 39.68383457567283
5 9 78.13608523649873
5 10 79.01511555649535
5 11 54.39010580407295
5 12 54.82518564986855
5 13 86.14979859139612
5 14 42.82984786343573
6 7 65.60933660746392
6 8 89.67919364957076
6 9 28.933068860473455
6 10 28.581559197336468
6 11 90.86102478916547
6 12 82.16057606655875
6 13 75.8422330956644
6 14 51.65668436834988
7 8 66.8076416167836
7 9 89.85983516993728
7 10 41.94706009899783
7 11 80.55657160379482
7 12 55.18871669821024
7 13 44.295282952381754
7 14 20.473553734379458
8 9 30.354894991771488
8 10 49.786328798741934
8 11 50.70679126678402
8 12 85.81987571831586
8 13 40.211374321439266
8 14 91.46798786279544
9 10 99.99017284259935
9 11 25.756780471310776
9 12 63.25423575642796
9 13 89.88984761490372
9 14 66.87125432101598
10 11 93.67929452660937
10 12 90.65646269949627
10 13 24.089397388367047
10 14 20.916084503705427
11 12 46.38291171403451
11 13 66.22033373535116
11 14 27.227645430255443
12 13 88.34237119358004
12 14 78.61794748551688
13 14 98.10814615421984
