data,k,alpha,run idx,result,violation,time, status
dense_100,6,10,0,242923.758578,0,1800857.000000,FEASIBLE
dense_100,6,11,0,241704.310553,0,1800283.000000,FEASIBLE
dense_100,7,10,0,248237.982133,0,1800336.000000,FEASIBLE
dense_100,7,11,0,247527.517927,0,1800338.000000,FEASIBLE
dense_100,8,10,0,254796.508619,0,1800377.000000,FEASIBLE
dense_100,8,11,0,253379.536185,0,1800328.000000,FEASIBLE
dense_300,6,10,0,2243632.508281,0,1802775.000000,FEASIBLE
dense_300,6,11,0,2248700.375062,0,1802734.000000,FEASIBLE
dense_300,7,10,0,2313762.410982,0,1803215.000000,FEASIBLE
dense_300,7,11,0,2312573.805527,0,1803069.000000,FEASIBLE
dense_300,8,10,0,2358328.558296,0,1802155.000000,FEASIBLE
dense_300,8,11,0,2361142.737385,0,1804184.000000,FEASIBLE
dense_200,6,10,0,992709.293106,0,1800810.000000,FEASIBLE
dense_200,6,11,0,992563.810728,0,1801362.000000,FEASIBLE
dense_200,7,10,0,1023051.165186,0,1801321.000000,FEASIBLE
dense_200,7,11,0,1021646.974630,0,1801407.000000,FEASIBLE
dense_200,8,10,0,1043310.488608,0,1801252.000000,FEASIBLE
dense_200,8,11,0,1042236.368626,0,1801743.000000,FEASIBLE
dense_400,6,10,0,3992537.549934,0,1804753.000000,FEASIBLE
dense_400,6,11,0,3997014.850696,0,1805540.000000,FEASIBLE
dense_400,7,10,0,4755757.182406,0,1806202.000000,FEASIBLE
dense_400,7,11,0,4109143.705828,0,1805393.000000,FEASIBLE
dense_400,8,10,0,4761908.312500,0,1804155.000000,FEASIBLE
dense_400,8,11,0,4762009.204280,0,1806175.000000,FEASIBLE
