data,k,alpha,run idx,result,violation,time, status
dense_80,6,10,0,153093.243277,0,1200633.000000,FEASIBLE
dense_80,6,11,0,152328.809901,0,1200304.000000,FEASIBLE
dense_80,7,10,0,157094.760316,0,1200236.000000,FEASIBLE
dense_80,7,11,0,156016.133666,0,1200172.000000,FEASIBLE
dense_80,8,10,0,160012.988570,0,1200250.000000,FEASIBLE
dense_80,8,11,0,159074.288865,0,1200223.000000,FEASIBLE
dense_85,6,10,0,175008.677637,0,1200238.000000,FEASIBLE
dense_85,6,11,0,174606.634845,0,1200243.000000,FEASIBLE
dense_85,7,10,0,178841.714039,0,1200217.000000,FEASIBLE
dense_85,7,11,0,178161.773173,0,1200261.000000,FEASIBLE
dense_85,8,10,0,183231.271288,0,1200184.000000,FEASIBLE
dense_85,8,11,0,182447.833178,0,1200252.000000,FEASIBLE
dense_90,6,10,0,195992.663619,0,1200173.000000,FEASIBLE
dense_90,6,11,0,194689.636680,0,1200253.000000,FEASIBLE
dense_90,7,10,0,201008.477047,0,1200179.000000,FEASIBLE
dense_90,7,11,0,200072.191082,0,1200308.000000,FEASIBLE
dense_90,8,10,0,205891.862571,0,1200270.000000,FEASIBLE
dense_90,8,11,0,203661.403490,0,1200240.000000,FEASIBLE
dense_100,6,10,0,244956.844690,0,1200311.000000,FEASIBLE
dense_100,6,11,0,243692.358431,0,1200233.000000,FEASIBLE
dense_100,7,10,0,251105.763694,0,1200215.000000,FEASIBLE
dense_100,7,11,0,250516.283133,0,1200318.000000,FEASIBLE
dense_100,8,10,0,256636.088910,0,1200348.000000,FEASIBLE
dense_100,8,11,0,256113.212069,0,1200310.000000,FEASIBLE
dense_75,6,10,0,136756.105855,0,1200118.000000,FEASIBLE
dense_75,6,11,0,135798.338468,0,1200117.000000,FEASIBLE
dense_75,7,10,0,140636.755118,0,1200125.000000,FEASIBLE
dense_75,7,11,0,138853.137961,0,1200200.000000,FEASIBLE
dense_75,8,10,0,143122.346952,0,1200160.000000,FEASIBLE
dense_75,8,11,0,141815.130723,0,1200176.000000,FEASIBLE
dense_95,6,10,0,218089.618068,0,1200791.000000,FEASIBLE
dense_95,6,11,0,217353.735443,0,1200393.000000,FEASIBLE
dense_95,7,10,0,225030.096045,0,1200349.000000,FEASIBLE
dense_95,7,11,0,223306.216694,0,1200294.000000,FEASIBLE
dense_95,8,10,0,228091.207708,0,1200364.000000,FEASIBLE
dense_95,8,11,0,227144.011835,0,1200358.000000,FEASIBLE
