data,k,alpha,run idx,result,violation,time, status
dense_45,4,5,0,44129.571202,0,1200405.000000,FEASIBLE
dense_45,4,6,0,43346.215803,0,1200103.000000,FEASIBLE
dense_45,5,5,0,46122.759041,0,1200082.000000,FEASIBLE
dense_45,5,6,0,46128.525141,0,1200067.000000,FEASIBLE
dense_45,6,5,0,48562.688118,0,1200111.000000,FEASIBLE
dense_45,6,6,0,48530.991457,0,1200049.000000,FEASIBLE
dense_55,4,5,0,65410.836219,0,1200087.000000,FEASIBLE
dense_55,4,6,0,64500.033960,0,1200066.000000,FEASIBLE
dense_55,5,5,0,69510.373957,0,1200059.000000,FEASIBLE
dense_55,5,6,0,69958.600888,0,1200096.000000,FEASIBLE
dense_55,6,5,0,73264.289486,0,1200086.000000,FEASIBLE
dense_55,6,6,0,72875.610017,0,1200152.000000,FEASIBLE
dense_50,4,5,0,53549.489084,0,1200064.000000,FEASIBLE
dense_50,4,6,0,53219.747497,0,1200042.000000,FEASIBLE
dense_50,5,5,0,58137.115505,0,1200054.000000,FEASIBLE
dense_50,5,6,0,57301.333176,0,1200060.000000,FEASIBLE
dense_50,6,5,0,60727.824967,0,1200064.000000,FEASIBLE
dense_50,6,6,0,59901.693439,0,1200062.000000,FEASIBLE
dense_60,4,5,0,77787.391115,0,1200057.000000,FEASIBLE
dense_60,4,6,0,78365.770205,0,1200072.000000,FEASIBLE
dense_60,5,5,0,82930.701557,0,1200074.000000,FEASIBLE
dense_60,5,6,0,83587.121810,0,1200071.000000,FEASIBLE
dense_60,6,5,0,87451.301272,0,1200117.000000,FEASIBLE
dense_60,6,6,0,87048.326622,0,1200043.000000,FEASIBLE
dense_65,4,5,0,91894.926920,0,1200066.000000,FEASIBLE
dense_65,4,6,0,92059.450953,0,1200069.000000,FEASIBLE
dense_65,5,5,0,97457.297590,0,1200087.000000,FEASIBLE
dense_65,5,6,0,97439.301295,0,1200139.000000,FEASIBLE
dense_65,6,5,0,102804.612631,0,1200092.000000,FEASIBLE
dense_65,6,6,0,102600.244929,0,1200090.000000,FEASIBLE
dense_70,4,5,0,107244.583926,0,1200446.000000,FEASIBLE
dense_70,4,6,0,108006.299642,0,1200190.000000,FEASIBLE
dense_70,5,5,0,114530.396430,0,1200150.000000,FEASIBLE
dense_70,5,6,0,115312.097138,0,1200137.000000,FEASIBLE
dense_70,6,5,0,120481.968954,0,1200075.000000,FEASIBLE
dense_70,6,6,0,119754.760292,0,1200126.000000,FEASIBLE
dense_40,4,5,0,33052.286132,0,1200091.000000,FEASIBLE
dense_40,4,6,0,32829.469390,0,1200046.000000,FEASIBLE
dense_40,5,5,0,35503.208461,0,1200039.000000,FEASIBLE
dense_40,5,6,0,35501.282126,0,1200038.000000,FEASIBLE
dense_40,6,5,0,37339.319193,0,1200040.000000,FEASIBLE
dense_40,6,6,0,36946.940911,0,1200073.000000,FEASIBLE
