data,k,alpha,run idx,result,violation,time, status
V_62_E_1891_weight,2,4,0,841.002808,0,1800572.000000,FEASIBLE
V_62_E_1891_weight,2,5,0,841.002808,0,1800103.000000,FEASIBLE
V_62_E_1891_weight,3,4,0,1123.300865,0,1800078.000000,FEASIBLE
V_62_E_1891_weight,3,5,0,1121.011101,0,1800121.000000,FEASIBLE
V_62_E_1891_weight,5,4,0,1344.170245,0,1800136.000000,FEASIBLE
V_62_E_1891_weight,5,5,0,1343.013769,0,1800101.000000,FEASIBLE
V_62_E_1891_weight,7,4,0,1438.303596,0,1800135.000000,FEASIBLE
V_62_E_1891_weight,7,5,0,1428.292485,0,1800112.000000,FEASIBLE
V_62_E_1891_distance,2,4,0,1098.201889,0,1800075.000000,FEASIBLE
V_62_E_1891_distance,2,5,0,1098.201889,0,1800092.000000,FEASIBLE
V_62_E_1891_distance,3,4,0,1461.717561,0,1800067.000000,FEASIBLE
V_62_E_1891_distance,3,5,0,1458.358836,0,1800088.000000,FEASIBLE
V_62_E_1891_distance,5,4,0,1751.811164,0,1800105.000000,FEASIBLE
V_62_E_1891_distance,5,5,0,1749.566955,0,1800109.000000,FEASIBLE
V_62_E_1891_distance,7,4,0,1874.480816,0,1800091.000000,FEASIBLE
V_62_E_1891_distance,7,5,0,1861.208386,0,1800132.000000,FEASIBLE
V_62_E_1891_pearson,2,4,0,556.129918,0,104.000000,OPTIMAL
V_62_E_1891_pearson,2,5,0,556.129918,0,120.000000,OPTIMAL
V_62_E_1891_pearson,3,4,0,566.193687,0,1701.000000,OPTIMAL
V_62_E_1891_pearson,3,5,0,564.586065,0,903.000000,OPTIMAL
V_62_E_1891_pearson,5,4,0,581.812376,0,103230.000000,OPTIMAL
V_62_E_1891_pearson,5,5,0,579.959161,0,43652.000000,OPTIMAL
V_62_E_1891_pearson,7,4,0,588.313232,0,661015.000000,OPTIMAL
V_62_E_1891_pearson,7,5,0,586.152109,0,469971.000000,OPTIMAL
USAir_332,2,4,0,152.875700,0,3256.000000,OPTIMAL
USAir_332,2,5,0,152.875700,0,3192.000000,OPTIMAL
USAir_332,3,4,0,152.875700,0,4314.000000,OPTIMAL
USAir_332,3,5,0,152.875700,0,4071.000000,OPTIMAL
USAir_332,5,4,0,152.875700,0,6307.000000,OPTIMAL
USAir_332,5,5,0,152.875700,0,6371.000000,OPTIMAL
USAir_332,7,4,0,152.875700,0,8502.000000,OPTIMAL
USAir_332,7,5,0,152.875700,0,8751.000000,OPTIMAL
