data,k,alpha,run idx,result,violation,time, status
dense_10,2,1,0,1314.418992,0,244.000000,OPTIMAL
dense_10,2,2,0,1262.515724,0,45.000000,OPTIMAL
dense_10,3,1,0,1818.919452,0,268.000000,OPTIMAL
dense_10,3,2,0,1778.335314,0,385.000000,OPTIMAL
dense_10,4,1,0,2104.666020,0,934.000000,OPTIMAL
dense_10,4,2,0,2032.021434,0,2767.000000,OPTIMAL
dense_15,2,1,0,3008.096229,0,768.000000,OPTIMAL
dense_15,2,2,0,3008.096229,0,653.000000,OPTIMAL
dense_15,3,1,0,4108.341842,0,18182.000000,OPTIMAL
dense_15,3,2,0,4024.017113,0,36365.000000,OPTIMAL
dense_15,4,1,0,4701.528448,0,628047.000000,OPTIMAL
dense_15,4,2,0,4626.359794,0,1200153.000000,FEASIBLE
dense_25,2,1,0,8041.271310,0,346003.000000,OPTIMAL
dense_25,2,2,0,8041.271310,0,496467.000000,OPTIMAL
dense_25,3,1,0,10984.503098,0,1200200.000000,FEASIBLE
dense_25,3,2,0,10944.876341,0,1200234.000000,FEASIBLE
dense_25,4,1,0,12515.958849,0,1200113.000000,FEASIBLE
dense_25,4,2,0,12419.364500,0,1200076.000000,FEASIBLE
dense_30,2,1,0,12338.142798,0,1200169.000000,FEASIBLE
dense_30,2,2,0,12216.229750,0,1200232.000000,FEASIBLE
dense_30,3,1,0,16944.201015,0,1200105.000000,FEASIBLE
dense_30,3,2,0,16735.099457,0,1200150.000000,FEASIBLE
dense_30,4,1,0,19124.142081,0,1200045.000000,FEASIBLE
dense_30,4,2,0,19248.938080,0,1200049.000000,FEASIBLE
dense_20,2,1,0,5511.278983,0,18795.000000,OPTIMAL
dense_20,2,2,0,5424.211632,0,18343.000000,OPTIMAL
dense_20,3,1,0,7382.104086,0,1200185.000000,FEASIBLE
dense_20,3,2,0,7285.875103,0,1200256.000000,FEASIBLE
dense_20,4,1,0,8487.083908,0,1200070.000000,FEASIBLE
dense_20,4,2,0,8248.817976,0,1200158.000000,FEASIBLE
dense_35,2,1,0,16784.780418,0,1200152.000000,FEASIBLE
dense_35,2,2,0,16742.490208,0,1200143.000000,FEASIBLE
dense_35,3,1,0,22777.931726,0,1200071.000000,FEASIBLE
dense_35,3,2,0,22700.376259,0,1200078.000000,FEASIBLE
dense_35,4,1,0,25919.501135,0,1200041.000000,FEASIBLE
dense_35,4,2,0,25786.970270,0,1200042.000000,FEASIBLE
dense_5,2,1,0,269.640265,0,5.000000,OPTIMAL
dense_5,2,2,0,269.640265,0,5.000000,OPTIMAL
dense_5,3,1,0,393.635869,0,10.000000,OPTIMAL
dense_5,3,2,0,320.786037,0,5.000000,OPTIMAL
dense_5,4,1,0,458.120912,0,6.000000,OPTIMAL
dense_5,4,2,0,393.635869,0,6.000000,OPTIMAL
