data,k,alpha,run idx,result,violation,time, status
dense_300,6,10,0,2235536.797774,0,204426.000000,FEASIBLE
dense_300,6,10,1,2240070.797774,0,206246.000000,FEASIBLE
dense_300,6,10,2,2234195.797774,0,210505.000000,FEASIBLE
dense_300,6,10,3,2237066.797774,0,205962.000000,FEASIBLE
dense_300,6,10,4,2231802.797774,0,208790.000000,FEASIBLE
dense_300,6,11,0,2230112.797774,0,202965.000000,FEASIBLE
dense_300,6,11,1,2224434.797774,0,206729.000000,FEASIBLE
dense_300,6,11,2,2222630.797774,0,204756.000000,FEASIBLE
dense_300,6,11,3,2224080.797774,0,206329.000000,FEASIBLE
dense_300,6,11,4,2223829.797774,0,204568.000000,FEASIBLE
dense_300,7,10,0,2295595.797774,0,180344.000000,FEASIBLE
dense_300,7,10,1,2299138.797774,0,180660.000000,FEASIBLE
dense_300,7,10,2,2298182.797774,0,177956.000000,FEASIBLE
dense_300,7,10,3,2299721.797774,0,177948.000000,FEASIBLE
dense_300,7,10,4,2297368.797774,0,176304.000000,FEASIBLE
dense_300,7,11,0,2295728.797774,0,181146.000000,FEASIBLE
dense_300,7,11,1,2294519.797774,0,180387.000000,FEASIBLE
dense_300,7,11,2,2294780.797774,0,179760.000000,FEASIBLE
dense_300,7,11,3,2293543.797774,0,175736.000000,FEASIBLE
dense_300,7,11,4,2297596.797774,0,176451.000000,FEASIBLE
dense_300,8,10,0,2345388.797774,0,157149.000000,FEASIBLE
dense_300,8,10,1,2347522.797774,0,162847.000000,FEASIBLE
dense_300,8,10,2,2346100.797774,0,163159.000000,FEASIBLE
dense_300,8,10,3,2348919.797774,0,159118.000000,FEASIBLE
dense_300,8,10,4,2346426.797774,0,157751.000000,FEASIBLE
dense_300,8,11,0,2337842.797774,0,157445.000000,FEASIBLE
dense_300,8,11,1,2350750.797774,0,161437.000000,FEASIBLE
dense_300,8,11,2,2340226.797774,0,164675.000000,FEASIBLE
dense_300,8,11,3,2349839.797774,0,161784.000000,FEASIBLE
dense_300,8,11,4,2341715.797774,0,163277.000000,FEASIBLE
dense_100,6,10,0,241937.028368,0,2974.000000,FEASIBLE
dense_100,6,10,1,240867.028368,0,2870.000000,FEASIBLE
