data,k,alpha,run idx,result,violation,time, status
dense_80,6,10,0,152170.871931,0,2129.000000,FEASIBLE
dense_80,6,10,1,152906.871931,0,1991.000000,FEASIBLE
dense_80,6,10,2,152575.871931,0,1727.000000,FEASIBLE
dense_80,6,10,3,152792.871931,0,1961.000000,FEASIBLE
dense_80,6,10,4,152048.871931,0,2155.000000,FEASIBLE
dense_80,6,11,0,150620.871931,0,1760.000000,FEASIBLE
dense_80,6,11,1,150789.871931,0,2154.000000,FEASIBLE
dense_80,6,11,2,149771.871931,0,1983.000000,FEASIBLE
dense_80,6,11,3,150608.871931,0,1921.000000,FEASIBLE
dense_80,6,11,4,150664.871931,0,2184.000000,FEASIBLE
dense_80,7,10,0,157162.871931,0,1920.000000,FEASIBLE
dense_80,7,10,1,156740.871931,0,2288.000000,FEASIBLE
dense_80,7,10,2,156305.871931,0,2106.000000,FEASIBLE
dense_80,7,10,3,156873.871931,0,1860.000000,FEASIBLE
dense_80,7,10,4,156385.871931,0,2193.000000,FEASIBLE
dense_80,7,11,0,156389.871931,0,1956.000000,FEASIBLE
dense_80,7,11,1,156672.871931,0,2182.000000,FEASIBLE
dense_80,7,11,2,154483.871931,0,2023.000000,FEASIBLE
dense_80,7,11,3,157115.871931,0,1859.000000,FEASIBLE
dense_80,7,11,4,156228.871931,0,1813.000000,FEASIBLE
dense_80,8,10,0,159907.871931,0,2259.000000,FEASIBLE
dense_80,8,10,1,159207.871931,0,1767.000000,FEASIBLE
dense_80,8,10,2,159720.871931,0,2057.000000,FEASIBLE
dense_80,8,10,3,159333.871931,0,1830.000000,FEASIBLE
dense_80,8,10,4,159609.871931,0,1867.000000,FEASIBLE
dense_80,8,11,0,159101.871931,0,1969.000000,FEASIBLE
dense_80,8,11,1,159837.871931,0,1685.000000,FEASIBLE
dense_80,8,11,2,159671.871931,0,1563.000000,FEASIBLE
dense_80,8,11,3,157648.871931,0,1751.000000,FEASIBLE
dense_80,8,11,4,158279.871931,0,1846.000000,FEASIBLE
dense_85,6,10,0,174782.352638,0,2021.000000,FEASIBLE
dense_85,6,10,1,174026.352638,0,2212.000000,FEASIBLE
dense_85,6,10,2,173543.352638,0,2154.000000,FEASIBLE
dense_85,6,10,3,173709.352638,0,2359.000000,FEASIBLE
dense_85,6,10,4,174551.352638,0,2111.000000,FEASIBLE
dense_85,6,11,0,172100.352638,0,2329.000000,FEASIBLE
dense_85,6,11,1,172704.352638,0,2325.000000,FEASIBLE
dense_85,6,11,2,174214.352638,0,2194.000000,FEASIBLE
dense_85,6,11,3,172095.352638,0,2111.000000,FEASIBLE
dense_85,6,11,4,174636.352638,0,1902.000000,FEASIBLE
dense_85,7,10,0,177304.352638,0,2003.000000,FEASIBLE
dense_85,7,10,1,178614.352638,0,1757.000000,FEASIBLE
dense_85,7,10,2,176725.352638,0,2031.000000,FEASIBLE
dense_85,7,10,3,177572.352638,0,2255.000000,FEASIBLE
dense_85,7,10,4,177527.352638,0,1844.000000,FEASIBLE
dense_85,7,11,0,177852.352638,0,2011.000000,FEASIBLE
dense_85,7,11,1,178781.352638,0,2386.000000,FEASIBLE
dense_85,7,11,2,178165.352638,0,1951.000000,FEASIBLE
dense_85,7,11,3,178048.352638,0,2293.000000,FEASIBLE
dense_85,7,11,4,175380.352638,0,1928.000000,FEASIBLE
dense_85,8,10,0,180551.352638,0,1845.000000,FEASIBLE
dense_85,8,10,1,181204.352638,0,1996.000000,FEASIBLE
dense_85,8,10,2,182661.352638,0,1637.000000,FEASIBLE
dense_85,8,10,3,182858.352638,0,1831.000000,FEASIBLE
dense_85,8,10,4,180344.352638,0,1689.000000,FEASIBLE
dense_85,8,11,0,181897.352638,0,1707.000000,FEASIBLE
dense_85,8,11,1,180503.352638,0,2007.000000,FEASIBLE
dense_85,8,11,2,180128.352638,0,1911.000000,FEASIBLE
dense_85,8,11,3,181032.352638,0,2267.000000,FEASIBLE
dense_85,8,11,4,179412.352638,0,1949.000000,FEASIBLE
dense_90,6,10,0,194477.991008,0,2373.000000,FEASIBLE
dense_90,6,10,1,195075.991008,0,2366.000000,FEASIBLE
dense_90,6,10,2,195766.991008,0,2706.000000,FEASIBLE
dense_90,6,10,3,196127.991008,0,2496.000000,FEASIBLE
dense_90,6,10,4,194992.991008,0,2607.000000,FEASIBLE
dense_90,6,11,0,193240.991008,0,2485.000000,FEASIBLE
dense_90,6,11,1,193443.991008,0,2535.000000,FEASIBLE
dense_90,6,11,2,193980.991008,0,2314.000000,FEASIBLE
dense_90,6,11,3,193196.991008,0,2257.000000,FEASIBLE
dense_90,6,11,4,195778.991008,0,2060.000000,FEASIBLE
dense_90,7,10,0,199694.991008,0,2522.000000,FEASIBLE
dense_90,7,10,1,199985.991008,0,2776.000000,FEASIBLE
dense_90,7,10,2,200326.991008,0,2320.000000,FEASIBLE
dense_90,7,10,3,199569.991008,0,2551.000000,FEASIBLE
dense_90,7,10,4,201348.991008,0,2446.000000,FEASIBLE
dense_90,7,11,0,198479.991008,0,2358.000000,FEASIBLE
dense_90,7,11,1,198797.991008,0,2254.000000,FEASIBLE
dense_90,7,11,2,200057.991008,0,2017.000000,FEASIBLE
dense_90,7,11,3,199567.991008,0,2185.000000,FEASIBLE
dense_90,7,11,4,198656.991008,0,2255.000000,FEASIBLE
dense_90,8,10,0,205197.991008,0,1819.000000,FEASIBLE
dense_90,8,10,1,203853.991008,0,2489.000000,FEASIBLE
dense_90,8,10,2,204206.991008,0,1974.000000,FEASIBLE
dense_90,8,10,3,204868.991008,0,2038.000000,FEASIBLE
dense_90,8,10,4,204195.991008,0,1848.000000,FEASIBLE
dense_90,8,11,0,200386.991008,0,1932.000000,FEASIBLE
dense_90,8,11,1,201139.991008,0,2606.000000,FEASIBLE
dense_90,8,11,2,202508.991008,0,2542.000000,FEASIBLE
dense_90,8,11,3,200483.991008,0,2318.000000,FEASIBLE
dense_90,8,11,4,200427.991008,0,2223.000000,FEASIBLE
dense_100,6,10,0,243735.836080,0,2583.000000,FEASIBLE
dense_100,6,10,1,241792.836080,0,2822.000000,FEASIBLE
dense_100,6,10,2,242104.836080,0,2936.000000,FEASIBLE
dense_100,6,10,3,242849.836080,0,2634.000000,FEASIBLE
dense_100,6,10,4,243587.836080,0,2440.000000,FEASIBLE
dense_100,6,11,0,242176.836080,0,3127.000000,FEASIBLE
dense_100,6,11,1,242911.836080,0,2796.000000,FEASIBLE
dense_100,6,11,2,242727.836080,0,2819.000000,FEASIBLE
dense_100,6,11,3,242048.836080,0,2767.000000,FEASIBLE
dense_100,6,11,4,243075.836080,0,2567.000000,FEASIBLE
dense_100,7,10,0,250571.836080,0,2918.000000,FEASIBLE
dense_100,7,10,1,249173.836080,0,2802.000000,FEASIBLE
