data,k,alpha,run idx,result,violation,time, status
dense_45,4,5,0,43846.032524,0,525.000000,FEASIBLE
dense_45,4,5,1,43650.032524,0,376.000000,FEASIBLE
dense_45,4,5,2,43915.032524,0,380.000000,FEASIBLE
dense_45,4,5,3,43884.032524,0,413.000000,FEASIBLE
dense_45,4,5,4,43919.032524,0,351.000000,FEASIBLE
dense_45,4,6,0,43656.032524,0,367.000000,FEASIBLE
dense_45,4,6,1,43735.032524,0,349.000000,FEASIBLE
dense_45,4,6,2,43695.032524,0,349.000000,FEASIBLE
dense_45,4,6,3,43481.032524,0,351.000000,FEASIBLE
dense_45,4,6,4,43783.032524,0,379.000000,FEASIBLE
dense_45,5,5,0,46896.032524,0,379.000000,FEASIBLE
dense_45,5,5,1,47342.032524,0,380.000000,FEASIBLE
dense_45,5,5,2,47092.032524,0,384.000000,FEASIBLE
dense_45,5,5,3,47290.032524,0,310.000000,FEASIBLE
dense_45,5,5,4,47148.032524,0,313.000000,FEASIBLE
dense_45,5,6,0,46390.032524,0,359.000000,FEASIBLE
dense_45,5,6,1,46752.032524,0,454.000000,FEASIBLE
dense_45,5,6,2,46935.032524,0,475.000000,FEASIBLE
dense_45,5,6,3,46753.032524,0,358.000000,FEASIBLE
dense_45,5,6,4,46527.032524,0,358.000000,FEASIBLE
dense_45,6,5,0,49175.032524,0,332.000000,FEASIBLE
dense_45,6,5,1,48871.032524,0,410.000000,FEASIBLE
dense_45,6,5,2,48850.032524,0,297.000000,FEASIBLE
dense_45,6,5,3,49034.032524,0,298.000000,FEASIBLE
dense_45,6,5,4,49050.032524,0,418.000000,FEASIBLE
dense_45,6,6,0,48710.032524,0,330.000000,FEASIBLE
dense_45,6,6,1,48966.032524,0,298.000000,FEASIBLE
dense_45,6,6,2,48208.032524,0,310.000000,FEASIBLE
dense_45,6,6,3,48482.032524,0,393.000000,FEASIBLE
dense_45,6,6,4,48867.032524,0,303.000000,FEASIBLE
dense_55,4,5,0,65335.540535,0,612.000000,FEASIBLE
dense_55,4,5,1,65467.540535,0,525.000000,FEASIBLE
dense_55,4,5,2,65472.540535,0,545.000000,FEASIBLE
dense_55,4,5,3,65938.540535,0,716.000000,FEASIBLE
dense_55,4,5,4,65784.540535,0,705.000000,FEASIBLE
dense_55,4,6,0,64932.540535,0,596.000000,FEASIBLE
dense_55,4,6,1,65806.540535,0,487.000000,FEASIBLE
dense_55,4,6,2,64851.540535,0,552.000000,FEASIBLE
dense_55,4,6,3,65070.540535,0,651.000000,FEASIBLE
dense_55,4,6,4,65227.540535,0,531.000000,FEASIBLE
dense_55,5,5,0,69654.540535,0,441.000000,FEASIBLE
dense_55,5,5,1,70163.540535,0,441.000000,FEASIBLE
dense_55,5,5,2,70505.540535,0,426.000000,FEASIBLE
dense_55,5,5,3,70218.540535,0,432.000000,FEASIBLE
dense_55,5,5,4,69931.540535,0,429.000000,FEASIBLE
dense_55,5,6,0,70178.540535,0,432.000000,FEASIBLE
dense_55,5,6,1,69402.540535,0,433.000000,FEASIBLE
dense_55,5,6,2,70271.540535,0,487.000000,FEASIBLE
dense_55,5,6,3,69787.540535,0,600.000000,FEASIBLE
dense_55,5,6,4,70075.540535,0,487.000000,FEASIBLE
dense_55,6,5,0,73011.540535,0,422.000000,FEASIBLE
dense_55,6,5,1,72869.540535,0,407.000000,FEASIBLE
dense_55,6,5,2,72812.540535,0,495.000000,FEASIBLE
dense_55,6,5,3,72596.540535,0,622.000000,FEASIBLE
