data,k,alpha,run idx,result,violation,time, status
V_62_E_1891_pearson,2,4,0,639.428029,0,1404.000000,FEASIBLE
V_62_E_1891_pearson,2,4,1,639.428029,0,1210.000000,FEASIBLE
V_62_E_1891_pearson,2,4,2,639.428029,0,1060.000000,FEASIBLE
V_62_E_1891_pearson,2,4,3,639.428029,0,1054.000000,FEASIBLE
V_62_E_1891_pearson,2,4,4,639.428029,0,1096.000000,FEASIBLE
V_62_E_1891_pearson,2,5,0,639.428029,0,1538.000000,FEASIBLE
V_62_E_1891_pearson,2,5,1,639.428029,0,1130.000000,FEASIBLE
V_62_E_1891_pearson,2,5,2,639.428029,0,1052.000000,FEASIBLE
V_62_E_1891_pearson,2,5,3,639.428029,0,1145.000000,FEASIBLE
V_62_E_1891_pearson,2,5,4,639.428029,0,1223.000000,FEASIBLE
V_62_E_1891_pearson,3,4,0,639.428029,0,953.000000,FEASIBLE
V_62_E_1891_pearson,3,4,1,639.428029,0,903.000000,FEASIBLE
V_62_E_1891_pearson,3,4,2,639.428029,0,772.000000,FEASIBLE
V_62_E_1891_pearson,3,4,3,639.428029,0,994.000000,FEASIBLE
V_62_E_1891_pearson,3,4,4,639.428029,0,1005.000000,FEASIBLE
V_62_E_1891_pearson,3,5,0,639.428029,0,776.000000,FEASIBLE
V_62_E_1891_pearson,3,5,1,639.428029,0,771.000000,FEASIBLE
V_62_E_1891_pearson,3,5,2,639.428029,0,769.000000,FEASIBLE
V_62_E_1891_pearson,3,5,3,639.428029,0,908.000000,FEASIBLE
V_62_E_1891_pearson,3,5,4,639.428029,0,768.000000,FEASIBLE
V_62_E_1891_pearson,5,4,0,639.428029,0,665.000000,FEASIBLE
V_62_E_1891_pearson,5,4,1,639.428029,0,676.000000,FEASIBLE
V_62_E_1891_pearson,5,4,2,639.428029,0,542.000000,FEASIBLE
V_62_E_1891_pearson,5,4,3,639.428029,0,563.000000,FEASIBLE
V_62_E_1891_pearson,5,4,4,639.428029,0,547.000000,FEASIBLE
V_62_E_1891_pearson,5,5,0,639.428029,0,545.000000,FEASIBLE
V_62_E_1891_pearson,5,5,1,639.428029,0,542.000000,FEASIBLE
V_62_E_1891_pearson,5,5,2,639.428029,0,547.000000,FEASIBLE
V_62_E_1891_pearson,5,5,3,639.428029,0,579.000000,FEASIBLE
V_62_E_1891_pearson,5,5,4,639.428029,0,648.000000,FEASIBLE
V_62_E_1891_pearson,7,4,0,639.428029,0,473.000000,FEASIBLE
V_62_E_1891_pearson,7,4,1,639.428029,0,473.000000,FEASIBLE
V_62_E_1891_pearson,7,4,2,639.428029,0,638.000000,FEASIBLE
V_62_E_1891_pearson,7,4,3,639.428029,0,458.000000,FEASIBLE
V_62_E_1891_pearson,7,4,4,639.428029,0,477.000000,FEASIBLE
V_62_E_1891_pearson,7,5,0,639.428029,0,509.000000,FEASIBLE
V_62_E_1891_pearson,7,5,1,639.428029,0,578.000000,FEASIBLE
V_62_E_1891_pearson,7,5,2,639.428029,0,556.000000,FEASIBLE
V_62_E_1891_pearson,7,5,3,639.428029,0,503.000000,FEASIBLE
V_62_E_1891_pearson,7,5,4,639.428029,0,604.000000,FEASIBLE
V_62_E_1891_distance,2,4,0,1289.115405,0,1140.000000,FEASIBLE
V_62_E_1891_distance,2,4,1,1291.115405,0,1046.000000,FEASIBLE
V_62_E_1891_distance,2,4,2,1283.115405,0,1045.000000,FEASIBLE
V_62_E_1891_distance,2,4,3,1287.115405,0,1336.000000,FEASIBLE
V_62_E_1891_distance,2,4,4,1284.115405,0,1324.000000,FEASIBLE
V_62_E_1891_distance,2,5,0,1286.115405,0,1071.000000,FEASIBLE
V_62_E_1891_distance,2,5,1,1283.115405,0,1210.000000,FEASIBLE
V_62_E_1891_distance,2,5,2,1281.115405,0,1055.000000,FEASIBLE
V_62_E_1891_distance,2,5,3,1293.115405,0,1078.000000,FEASIBLE
V_62_E_1891_distance,2,5,4,1286.115405,0,1265.000000,FEASIBLE
V_62_E_1891_distance,3,4,0,1583.115405,0,927.000000,FEASIBLE
V_62_E_1891_distance,3,4,1,1586.115405,0,910.000000,FEASIBLE
V_62_E_1891_distance,3,4,2,1582.115405,0,981.000000,FEASIBLE
V_62_E_1891_distance,3,4,3,1579.115405,0,968.000000,FEASIBLE
V_62_E_1891_distance,3,4,4,1585.115405,0,858.000000,FEASIBLE
V_62_E_1891_distance,3,5,0,1580.115405,0,1092.000000,FEASIBLE
V_62_E_1891_distance,3,5,1,1582.115405,0,958.000000,FEASIBLE
V_62_E_1891_distance,3,5,2,1580.115405,0,876.000000,FEASIBLE
V_62_E_1891_distance,3,5,3,1584.115405,0,757.000000,FEASIBLE
V_62_E_1891_distance,3,5,4,1583.115405,0,764.000000,FEASIBLE
V_62_E_1891_distance,5,4,0,1823.115405,0,524.000000,FEASIBLE
V_62_E_1891_distance,5,4,1,1819.115405,0,525.000000,FEASIBLE
V_62_E_1891_distance,5,4,2,1821.115405,0,828.000000,FEASIBLE
V_62_E_1891_distance,5,4,3,1818.115405,0,556.000000,FEASIBLE
V_62_E_1891_distance,5,4,4,1817.115405,0,684.000000,FEASIBLE
V_62_E_1891_distance,5,5,0,1812.115405,0,592.000000,FEASIBLE
V_62_E_1891_distance,5,5,1,1815.115405,0,596.000000,FEASIBLE
V_62_E_1891_distance,5,5,2,1816.115405,0,800.000000,FEASIBLE
V_62_E_1891_distance,5,5,3,1813.115405,0,810.000000,FEASIBLE
V_62_E_1891_distance,5,5,4,1815.115405,0,898.000000,FEASIBLE
V_62_E_1891_distance,7,4,0,1921.115405,0,477.000000,FEASIBLE
V_62_E_1891_distance,7,4,1,1917.115405,0,481.000000,FEASIBLE
V_62_E_1891_distance,7,4,2,1919.115405,0,475.000000,FEASIBLE
V_62_E_1891_distance,7,4,3,1917.115405,0,434.000000,FEASIBLE
V_62_E_1891_distance,7,4,4,1917.115405,0,443.000000,FEASIBLE
V_62_E_1891_distance,7,5,0,1915.115405,0,696.000000,FEASIBLE
V_62_E_1891_distance,7,5,1,1912.115405,0,483.000000,FEASIBLE
V_62_E_1891_distance,7,5,2,1915.115405,0,615.000000,FEASIBLE
V_62_E_1891_distance,7,5,3,1916.115405,0,589.000000,FEASIBLE
V_62_E_1891_distance,7,5,4,1915.115405,0,538.000000,FEASIBLE
V_62_E_1891_weight,2,4,0,1516.292365,0,1282.000000,FEASIBLE
V_62_E_1891_weight,2,4,1,1516.292365,0,1047.000000,FEASIBLE
V_62_E_1891_weight,2,4,2,1516.292365,0,1160.000000,FEASIBLE
V_62_E_1891_weight,2,4,3,1516.292365,0,1184.000000,FEASIBLE
V_62_E_1891_weight,2,4,4,1516.292365,0,1040.000000,FEASIBLE
V_62_E_1891_weight,2,5,0,1522.292365,0,1207.000000,FEASIBLE
V_62_E_1891_weight,2,5,1,1516.292365,0,1042.000000,FEASIBLE
V_62_E_1891_weight,2,5,2,1522.292365,0,1192.000000,FEASIBLE
V_62_E_1891_weight,2,5,3,1516.292365,0,1472.000000,FEASIBLE
V_62_E_1891_weight,2,5,4,1516.292365,0,1572.000000,FEASIBLE
V_62_E_1891_weight,3,4,0,1540.292365,0,825.000000,FEASIBLE
V_62_E_1891_weight,3,4,1,1549.292365,0,762.000000,FEASIBLE
V_62_E_1891_weight,3,4,2,1547.292365,0,897.000000,FEASIBLE
V_62_E_1891_weight,3,4,3,1554.292365,0,874.000000,FEASIBLE
V_62_E_1891_weight,3,4,4,1544.292365,0,993.000000,FEASIBLE
V_62_E_1891_weight,3,5,0,1546.292365,0,848.000000,FEASIBLE
V_62_E_1891_weight,3,5,1,1552.292365,0,872.000000,FEASIBLE
V_62_E_1891_weight,3,5,2,1541.292365,0,899.000000,FEASIBLE
V_62_E_1891_weight,3,5,3,1540.292365,0,761.000000,FEASIBLE
V_62_E_1891_weight,3,5,4,1544.292365,0,760.000000,FEASIBLE
V_62_E_1891_weight,5,4,0,1572.292365,0,524.000000,FEASIBLE
V_62_E_1891_weight,5,4,1,1588.292365,0,527.000000,FEASIBLE
V_62_E_1891_weight,5,4,2,1575.292365,0,525.000000,FEASIBLE
V_62_E_1891_weight,5,4,3,1568.292365,0,525.000000,FEASIBLE
V_62_E_1891_weight,5,4,4,1574.292365,0,659.000000,FEASIBLE
V_62_E_1891_weight,5,5,0,1572.292365,0,543.000000,FEASIBLE
V_62_E_1891_weight,5,5,1,1572.292365,0,600.000000,FEASIBLE
V_62_E_1891_weight,5,5,2,1577.292365,0,546.000000,FEASIBLE
V_62_E_1891_weight,5,5,3,1576.292365,0,526.000000,FEASIBLE
V_62_E_1891_weight,5,5,4,1570.292365,0,582.000000,FEASIBLE
V_62_E_1891_weight,7,4,0,1581.292365,0,600.000000,FEASIBLE
V_62_E_1891_weight,7,4,1,1585.292365,0,495.000000,FEASIBLE
V_62_E_1891_weight,7,4,2,1595.292365,0,450.000000,FEASIBLE
V_62_E_1891_weight,7,4,3,1585.292365,0,594.000000,FEASIBLE
V_62_E_1891_weight,7,4,4,1593.292365,0,424.000000,FEASIBLE
V_62_E_1891_weight,7,5,0,1587.292365,0,446.000000,FEASIBLE
V_62_E_1891_weight,7,5,1,1583.292365,0,442.000000,FEASIBLE
V_62_E_1891_weight,7,5,2,1582.292365,0,430.000000,FEASIBLE
V_62_E_1891_weight,7,5,3,1588.292365,0,450.000000,FEASIBLE
V_62_E_1891_weight,7,5,4,1579.292365,0,496.000000,FEASIBLE
USAir_332,2,4,0,153.408300,0,991307.000000,FEASIBLE
USAir_332,2,4,1,153.408300,0,966029.000000,FEASIBLE
USAir_332,2,4,2,153.408300,0,994806.000000,FEASIBLE
USAir_332,2,4,3,153.408300,0,983573.000000,FEASIBLE
USAir_332,2,4,4,153.408300,0,1005433.000000,FEASIBLE
USAir_332,2,5,0,153.408300,0,998099.000000,FEASIBLE
USAir_332,2,5,1,153.408300,0,993977.000000,FEASIBLE
USAir_332,2,5,2,153.408300,0,1028043.000000,FEASIBLE
USAir_332,2,5,3,153.408300,0,1040232.000000,FEASIBLE
USAir_332,2,5,4,153.408300,0,1040831.000000,FEASIBLE
USAir_332,3,4,0,153.408300,0,761648.000000,FEASIBLE
USAir_332,3,4,1,153.408300,0,760504.000000,FEASIBLE
USAir_332,3,4,2,153.408300,0,757881.000000,FEASIBLE
USAir_332,3,4,3,153.408300,0,799670.000000,FEASIBLE
USAir_332,3,4,4,153.408300,0,741696.000000,FEASIBLE
USAir_332,3,5,0,153.408300,0,758101.000000,FEASIBLE
USAir_332,3,5,1,153.408300,0,755339.000000,FEASIBLE
USAir_332,3,5,2,153.408300,0,748258.000000,FEASIBLE
USAir_332,3,5,3,153.408300,0,754189.000000,FEASIBLE
USAir_332,3,5,4,153.408300,0,731478.000000,FEASIBLE
USAir_332,5,4,0,153.408300,0,424490.000000,FEASIBLE
USAir_332,5,4,1,153.408300,0,450113.000000,FEASIBLE
USAir_332,5,4,2,153.408300,0,443061.000000,FEASIBLE
USAir_332,5,4,3,153.408300,0,453181.000000,FEASIBLE
USAir_332,5,4,4,153.408300,0,471866.000000,FEASIBLE
USAir_332,5,5,0,153.408300,0,467851.000000,FEASIBLE
USAir_332,5,5,1,153.408300,0,460141.000000,FEASIBLE
USAir_332,5,5,2,153.408300,0,438094.000000,FEASIBLE
USAir_332,5,5,3,153.408300,0,451943.000000,FEASIBLE
USAir_332,5,5,4,153.408300,0,438487.000000,FEASIBLE
USAir_332,7,4,0,153.408300,0,321938.000000,FEASIBLE
USAir_332,7,4,1,153.408300,0,310193.000000,FEASIBLE
USAir_332,7,4,2,153.408300,0,312912.000000,FEASIBLE
USAir_332,7,4,3,153.408300,0,304287.000000,FEASIBLE
USAir_332,7,4,4,153.408300,0,314381.000000,FEASIBLE
USAir_332,7,5,0,153.408300,0,304334.000000,FEASIBLE
USAir_332,7,5,1,153.408300,0,299198.000000,FEASIBLE
USAir_332,7,5,2,153.408300,0,316448.000000,FEASIBLE
USAir_332,7,5,3,153.408300,0,311588.000000,FEASIBLE
USAir_332,7,5,4,153.408300,0,306083.000000,FEASIBLE
