data,k,alpha,run idx,result,violation,time, status
dense_10,2,1,0,1348.758213,0,93.000000,FEASIBLE
dense_10,2,1,1,1364.758213,0,31.000000,FEASIBLE
dense_10,2,1,2,1364.758213,0,31.000000,FEASIBLE
dense_10,2,1,3,1364.758213,0,36.000000,FEASIBLE
dense_10,2,1,4,1364.758213,0,30.000000,FEASIBLE
dense_10,2,2,0,1273.758213,0,35.000000,FEASIBLE
dense_10,2,2,1,1291.758213,0,32.000000,FEASIBLE
dense_10,2,2,2,1318.758213,0,31.000000,FEASIBLE
dense_10,2,2,3,1318.758213,0,28.000000,FEASIBLE
dense_10,2,2,4,1318.758213,0,25.000000,FEASIBLE
dense_10,3,1,0,1824.758213,0,28.000000,FEASIBLE
dense_10,3,1,1,1868.758213,0,26.000000,FEASIBLE
dense_10,3,1,2,1862.758213,0,22.000000,FEASIBLE
dense_10,3,1,3,1824.758213,0,18.000000,FEASIBLE
dense_10,3,1,4,1824.758213,0,16.000000,FEASIBLE
dense_10,3,2,0,1811.758213,0,22.000000,FEASIBLE
dense_10,3,2,1,1817.758213,0,17.000000,FEASIBLE
dense_10,3,2,2,1847.758213,0,16.000000,FEASIBLE
dense_10,3,2,3,1797.758213,0,17.000000,FEASIBLE
dense_10,3,2,4,1807.758213,0,17.000000,FEASIBLE
dense_10,4,1,0,2108.758213,0,18.000000,FEASIBLE
dense_10,4,1,1,2111.758213,0,17.000000,FEASIBLE
dense_10,4,1,2,2108.758213,0,17.000000,FEASIBLE
dense_10,4,1,3,2142.758213,0,24.000000,FEASIBLE
dense_10,4,1,4,2111.758213,0,15.000000,FEASIBLE
dense_10,4,2,0,2087.758213,0,19.000000,FEASIBLE
dense_10,4,2,1,2152.758213,0,21.000000,FEASIBLE
dense_10,4,2,2,2119.758213,0,18.000000,FEASIBLE
dense_10,4,2,3,2138.758213,0,15.000000,FEASIBLE
dense_10,4,2,4,2093.758213,0,18.000000,FEASIBLE
dense_15,2,1,0,3042.646009,0,103.000000,FEASIBLE
dense_15,2,1,1,3040.646009,0,102.000000,FEASIBLE
dense_15,2,1,2,3031.646009,0,75.000000,FEASIBLE
dense_15,2,1,3,3076.646009,0,25.000000,FEASIBLE
dense_15,2,1,4,3085.646009,0,24.000000,FEASIBLE
dense_15,2,2,0,3031.646009,0,26.000000,FEASIBLE
dense_15,2,2,1,3040.646009,0,25.000000,FEASIBLE
dense_15,2,2,2,3085.646009,0,25.000000,FEASIBLE
