data,k,alpha,run idx,result,violation,time, status
dense_100,6,10,0,248325.612113,0,1800872.000000,FEASIBLE
dense_100,6,11,0,248325.612113,0,1800220.000000,FEASIBLE
dense_100,7,10,0,255884.213617,0,1805338.000000,FEASIBLE
dense_100,7,11,0,255884.213617,0,1800969.000000,FEASIBLE
dense_100,8,10,0,261445.591187,0,1803296.000000,FEASIBLE
dense_100,8,11,0,261445.591187,0,1807192.000000,FEASIBLE
dense_300,6,10,0,2253234.835479,0,1821436.000000,FEASIBLE
dense_300,6,11,0,2253234.835479,0,1822730.000000,FEASIBLE
dense_300,7,10,0,2320313.921082,0,1864739.000000,FEASIBLE
dense_300,7,11,0,2320313.921082,0,2275293.000000,FEASIBLE
dense_300,8,10,0,2368009.731026,0,1811357.000000,FEASIBLE
dense_300,8,11,0,2368009.731026,0,1925999.000000,FEASIBLE
dense_200,6,10,0,1003887.435603,0,1809137.000000,FEASIBLE
dense_200,6,11,0,1003887.435603,0,1814437.000000,FEASIBLE
dense_200,7,10,0,1033044.695548,0,1815953.000000,FEASIBLE
dense_200,7,11,0,1033044.695548,0,1825015.000000,FEASIBLE
dense_200,8,10,0,1053033.434472,0,1825807.000000,FEASIBLE
dense_200,8,11,0,1053033.434472,0,1822062.000000,FEASIBLE
dense_400,6,10,0,4002194.712952,0,1969448.000000,FEASIBLE
dense_400,6,11,0,4002194.712952,0,1953840.000000,FEASIBLE
dense_400,7,10,0,4111195.264130,0,1802557.000000,FEASIBLE
dense_400,7,11,0,4111195.264130,0,2027888.000000,FEASIBLE
