data,k,alpha,run idx,result,violation,time, status
dense_80,6,10,0,159892.868105,0,1201896.000000,FEASIBLE
dense_80,6,11,0,159892.868105,0,1200139.000000,FEASIBLE
dense_80,7,10,0,163779.920612,0,1200411.000000,FEASIBLE
dense_80,7,11,0,163779.920612,0,1201502.000000,FEASIBLE
dense_80,8,10,0,166706.638423,0,1201883.000000,FEASIBLE
dense_80,8,11,0,166706.638423,0,1204207.000000,FEASIBLE
dense_85,6,10,0,179730.525093,0,1202190.000000,FEASIBLE
dense_85,6,11,0,179730.525093,0,1202411.000000,FEASIBLE
dense_85,7,10,0,184411.852542,0,1202249.000000,FEASIBLE
dense_85,7,11,0,184411.852542,0,1200400.000000,FEASIBLE
dense_85,8,10,0,189674.166974,0,1201394.000000,FEASIBLE
dense_85,8,11,0,189674.166974,0,1201496.000000,FEASIBLE
dense_90,6,10,0,201427.278273,0,1200561.000000,FEASIBLE
dense_90,6,11,0,201427.278273,0,1201875.000000,FEASIBLE
dense_90,7,10,0,206865.870248,0,1202467.000000,FEASIBLE
dense_90,7,11,0,206865.870248,0,1202580.000000,FEASIBLE
dense_90,8,10,0,211481.144675,0,1200767.000000,FEASIBLE
dense_90,8,11,0,211481.144675,0,1204729.000000,FEASIBLE
dense_100,6,10,0,249987.575574,0,1202431.000000,FEASIBLE
dense_100,6,11,0,249987.575574,0,1200237.000000,FEASIBLE
dense_100,7,10,0,257678.959405,0,1204407.000000,FEASIBLE
dense_100,7,11,0,257678.959405,0,1202077.000000,FEASIBLE
dense_100,8,10,0,263083.573475,0,1207194.000000,FEASIBLE
dense_100,8,11,0,263083.573475,0,1200801.000000,FEASIBLE
dense_75,6,10,0,142747.870037,0,1200107.000000,FEASIBLE
dense_75,6,11,0,142747.870037,0,1200116.000000,FEASIBLE
dense_75,7,10,0,145509.173447,0,1201191.000000,FEASIBLE
dense_75,7,11,0,145509.173447,0,1200176.000000,FEASIBLE
dense_75,8,10,0,149132.117611,0,1202458.000000,FEASIBLE
dense_75,8,11,0,149132.117611,0,1201070.000000,FEASIBLE
dense_95,6,10,0,224675.922868,0,1202554.000000,FEASIBLE
dense_95,6,11,0,224675.922868,0,1203407.000000,FEASIBLE
dense_95,7,10,0,230721.455553,0,1204549.000000,FEASIBLE
dense_95,7,11,0,230721.455553,0,1200863.000000,FEASIBLE
dense_95,8,10,0,235764.882866,0,1204560.000000,FEASIBLE
dense_95,8,11,0,235764.882866,0,1205835.000000,FEASIBLE
