data,k,alpha,run idx,result,violation,time, status
dense_45,4,5,0,44656.677191,0,1200143.000000,FEASIBLE
dense_45,4,6,0,44533.400152,0,1200033.000000,FEASIBLE
dense_45,5,5,0,47423.414299,0,1200171.000000,FEASIBLE
dense_45,5,6,0,46899.909853,0,1200151.000000,FEASIBLE
dense_45,6,5,0,49511.542234,0,1200265.000000,FEASIBLE
dense_45,6,6,0,49492.755672,0,1200049.000000,FEASIBLE
dense_55,4,5,0,66713.312066,0,1200054.000000,FEASIBLE
dense_55,4,6,0,66429.446625,0,1200236.000000,FEASIBLE
dense_55,5,5,0,71184.578732,0,1200049.000000,FEASIBLE
dense_55,5,6,0,70710.921336,0,1200204.000000,FEASIBLE
dense_55,6,5,0,75415.404036,0,1200163.000000,FEASIBLE
dense_55,6,6,0,74385.160100,0,1200263.000000,FEASIBLE
dense_50,4,5,0,54637.667971,0,1200204.000000,FEASIBLE
dense_50,4,6,0,55043.624188,0,1200065.000000,FEASIBLE
dense_50,5,5,0,58907.551001,0,1200120.000000,FEASIBLE
dense_50,5,6,0,58720.416135,0,1200037.000000,FEASIBLE
dense_50,6,5,0,61403.967668,0,1200405.000000,FEASIBLE
dense_50,6,6,0,61254.858004,0,1200315.000000,FEASIBLE
dense_60,4,5,0,80133.712384,0,1200346.000000,FEASIBLE
dense_60,4,6,0,79442.766632,0,1200424.000000,FEASIBLE
dense_60,5,5,0,85326.828455,0,1200123.000000,FEASIBLE
dense_60,5,6,0,85388.254108,0,1200478.000000,FEASIBLE
dense_60,6,5,0,88551.615095,0,1200348.000000,FEASIBLE
dense_60,6,6,0,88667.030645,0,1200214.000000,FEASIBLE
dense_65,4,5,0,93793.140409,0,1200393.000000,FEASIBLE
dense_65,4,6,0,92894.305717,0,1200169.000000,FEASIBLE
dense_65,5,5,0,101177.167465,0,1201288.000000,FEASIBLE
dense_65,5,6,0,100133.332476,0,1200088.000000,FEASIBLE
dense_65,6,5,0,105368.357102,0,1200088.000000,FEASIBLE
dense_65,6,6,0,105368.357102,0,1200715.000000,FEASIBLE
dense_70,4,5,0,110018.435232,0,1200635.000000,FEASIBLE
dense_70,4,6,0,109231.454122,0,1200424.000000,FEASIBLE
dense_70,5,5,0,117489.790302,0,1200252.000000,FEASIBLE
dense_70,5,6,0,117933.039848,0,1200980.000000,FEASIBLE
dense_70,6,5,0,121965.875745,0,1201228.000000,FEASIBLE
dense_70,6,6,0,122379.600156,0,1201105.000000,FEASIBLE
dense_40,4,5,0,34330.208776,0,1200024.000000,FEASIBLE
dense_40,4,6,0,33803.617547,0,1200048.000000,FEASIBLE
dense_40,5,5,0,36311.479251,0,1200027.000000,FEASIBLE
dense_40,5,6,0,36295.767138,0,1200114.000000,FEASIBLE
dense_40,6,5,0,37697.713370,0,1200063.000000,FEASIBLE
dense_40,6,6,0,37501.707438,0,1200059.000000,FEASIBLE
