data,k,alpha,run idx,result,violation,time, status
V_62_E_1891_pearson,2,4,0,304.459875,0,1799641.000000,FEASIBLE
V_62_E_1891_pearson,2,5,0,304.459875,0,1799591.000000,FEASIBLE
V_62_E_1891_pearson,3,4,0,426.257692,0,1800112.000000,FEASIBLE
V_62_E_1891_pearson,3,5,0,423.701783,0,1800212.000000,FEASIBLE
V_62_E_1891_pearson,5,4,0,515.017738,0,1800591.000000,FEASIBLE
V_62_E_1891_pearson,5,5,0,513.279159,0,1800255.000000,FEASIBLE
V_62_E_1891_pearson,7,4,0,552.794719,0,1800842.000000,FEASIBLE
V_62_E_1891_pearson,7,5,0,558.418657,0,1800345.000000,FEASIBLE
V_62_E_1891_distance,2,4,0,1093.467153,0,1800039.000000,FEASIBLE
V_62_E_1891_distance,2,5,0,1093.467153,0,1800019.000000,FEASIBLE
V_62_E_1891_distance,3,4,0,1459.524343,0,1800194.000000,FEASIBLE
V_62_E_1891_distance,3,5,0,1456.141644,0,1800289.000000,FEASIBLE
V_62_E_1891_distance,5,4,0,1751.995067,0,1800200.000000,FEASIBLE
V_62_E_1891_distance,5,5,0,1749.491298,0,1800043.000000,FEASIBLE
V_62_E_1891_distance,7,4,0,1874.170003,0,1801029.000000,FEASIBLE
V_62_E_1891_distance,7,5,0,1867.335066,0,1800969.000000,FEASIBLE
V_62_E_1891_weight,2,4,0,825.333560,0,1800066.000000,FEASIBLE
V_62_E_1891_weight,2,5,0,825.333560,0,1800058.000000,FEASIBLE
V_62_E_1891_weight,3,4,0,1122.026144,0,1800066.000000,FEASIBLE
V_62_E_1891_weight,3,5,0,1114.300046,0,1800099.000000,FEASIBLE
V_62_E_1891_weight,5,4,0,1346.010960,0,1800436.000000,FEASIBLE
V_62_E_1891_weight,5,5,0,1345.853824,0,1800526.000000,FEASIBLE
V_62_E_1891_weight,7,4,0,1439.509676,0,1800973.000000,FEASIBLE
V_62_E_1891_weight,7,5,0,1433.957416,0,1800695.000000,FEASIBLE
USAir_332,2,4,0,6.775400,0,17815.000000,OPTIMAL
USAir_332,2,5,0,6.775400,0,17505.000000,OPTIMAL
USAir_332,3,4,0,16.847900,0,1800847.000000,FEASIBLE
USAir_332,3,5,0,16.576700,0,305384.000000,OPTIMAL
USAir_332,5,4,0,67.404700,0,1801895.000000,FEASIBLE
USAir_332,5,5,0,38.505600,0,1802305.000000,FEASIBLE
USAir_332,7,4,0,128.144800,0,1802558.000000,FEASIBLE
USAir_332,7,5,0,80.490500,0,1802387.000000,FEASIBLE
