data,k,alpha,run idx,result,violation,time, status
dense_10,2,1,0,1314.418992,0,347.000000,OPTIMAL
dense_10,2,2,0,1262.515724,0,327.000000,OPTIMAL
dense_10,3,1,0,1818.919452,0,6042.000000,OPTIMAL
dense_10,3,2,0,1778.335314,0,7883.000000,OPTIMAL
dense_10,4,1,0,2104.666020,0,47493.000000,OPTIMAL
dense_10,4,2,0,2032.021434,0,69920.000000,OPTIMAL
dense_15,2,1,0,3008.096229,0,2745.000000,OPTIMAL
dense_15,2,2,0,3008.096229,0,2743.000000,OPTIMAL
dense_15,3,1,0,4108.341842,0,274629.000000,OPTIMAL
dense_15,3,2,0,4024.017113,0,315757.000000,OPTIMAL
dense_15,4,1,0,4701.528448,0,1200006.000000,FEASIBLE
dense_15,4,2,0,4626.359794,0,1200006.000000,FEASIBLE
dense_25,2,1,0,8041.271310,0,632968.000000,OPTIMAL
dense_25,2,2,0,8041.271310,0,612407.000000,OPTIMAL
dense_25,3,1,0,11076.228499,0,1200008.000000,FEASIBLE
dense_25,3,2,0,10966.098177,0,1200025.000000,FEASIBLE
dense_25,4,1,0,12679.150987,0,1200010.000000,FEASIBLE
dense_25,4,2,0,12648.261535,0,1200008.000000,FEASIBLE
dense_30,2,1,0,12362.596076,0,1200015.000000,FEASIBLE
dense_30,2,2,0,12307.905676,0,1200048.000000,FEASIBLE
dense_30,3,1,0,17214.014265,0,1200018.000000,FEASIBLE
dense_30,3,2,0,17242.814773,0,1200014.000000,FEASIBLE
dense_30,4,1,0,19651.608534,0,1200036.000000,FEASIBLE
dense_30,4,2,0,19571.972477,0,1200031.000000,FEASIBLE
dense_20,2,1,0,5511.278983,0,107751.000000,OPTIMAL
dense_20,2,2,0,5424.211632,0,107599.000000,OPTIMAL
dense_20,3,1,0,7381.162850,0,1200010.000000,FEASIBLE
dense_20,3,2,0,7328.805278,0,1200006.000000,FEASIBLE
dense_20,4,1,0,8566.714658,0,1200007.000000,FEASIBLE
dense_20,4,2,0,8334.675446,0,1200011.000000,FEASIBLE
dense_35,2,1,0,17180.702642,0,1200011.000000,FEASIBLE
dense_35,2,2,0,17139.717044,0,1200010.000000,FEASIBLE
dense_35,3,1,0,23461.309572,0,1200015.000000,FEASIBLE
dense_35,3,2,0,23342.576226,0,1200018.000000,FEASIBLE
dense_35,4,1,0,26702.229080,0,1200016.000000,FEASIBLE
dense_35,4,2,0,26418.912407,0,1200010.000000,FEASIBLE
dense_5,2,1,0,269.640265,0,39.000000,OPTIMAL
dense_5,2,2,0,269.640265,0,76.000000,OPTIMAL
dense_5,3,1,0,393.635869,0,152.000000,OPTIMAL
dense_5,3,2,0,320.786037,0,128.000000,OPTIMAL
dense_5,4,1,0,458.120912,0,356.000000,OPTIMAL
dense_5,4,2,0,393.635869,0,309.000000,OPTIMAL
