data,k,alpha,run idx,result,violation,time, status
dense_300,6,10,0,2211514.127763,0,2159.000000,FEASIBLE
dense_300,6,10,1,2209437.528943,0,1935.000000,FEASIBLE
dense_300,6,10,2,2206274.210837,0,1878.000000,FEASIBLE
dense_300,6,10,3,2206448.166975,0,1858.000000,FEASIBLE
dense_300,6,10,4,2204639.716830,0,1842.000000,FEASIBLE
dense_300,6,11,0,2216893.580841,0,1865.000000,FEASIBLE
dense_300,6,11,1,2214444.776628,0,1897.000000,FEASIBLE
dense_300,6,11,2,2214624.464415,0,1861.000000,FEASIBLE
dense_300,6,11,3,2214005.690443,0,1886.000000,FEASIBLE
dense_300,6,11,4,2215576.977819,0,1852.000000,FEASIBLE
dense_300,7,10,0,2279662.768240,0,1927.000000,FEASIBLE
dense_300,7,10,1,2284874.124063,0,1953.000000,FEASIBLE
dense_300,7,10,2,2280698.017708,0,1948.000000,FEASIBLE
dense_300,7,10,3,2286278.759579,0,1923.000000,FEASIBLE
dense_300,7,10,4,2280152.380848,0,2034.000000,FEASIBLE
dense_300,7,11,0,2287470.271299,0,2362.000000,FEASIBLE
dense_300,7,11,1,2285849.844738,0,1920.000000,FEASIBLE
dense_300,7,11,2,2286160.175293,0,1985.000000,FEASIBLE
dense_300,7,11,3,2285498.191351,0,2145.000000,FEASIBLE
dense_300,7,11,4,2286984.476842,0,2015.000000,FEASIBLE
dense_300,8,10,0,2328361.043892,0,2015.000000,FEASIBLE
dense_300,8,10,1,2335718.961953,0,2017.000000,FEASIBLE
dense_300,8,10,2,2337793.224200,0,2025.000000,FEASIBLE
dense_300,8,10,3,2327327.731055,0,2004.000000,FEASIBLE
dense_300,8,10,4,2327781.558597,0,2027.000000,FEASIBLE
dense_300,8,11,0,2329978.651503,0,2023.000000,FEASIBLE
dense_300,8,11,1,2331036.746258,0,2004.000000,FEASIBLE
dense_300,8,11,2,2331921.012897,0,1998.000000,FEASIBLE
dense_300,8,11,3,2332587.877337,0,2007.000000,FEASIBLE
dense_300,8,11,4,2320692.645050,0,2227.000000,FEASIBLE
dense_100,6,10,0,238336.638084,0,57.000000,FEASIBLE
dense_100,6,10,1,239146.951618,0,58.000000,FEASIBLE
dense_100,6,10,2,238684.702433,0,59.000000,FEASIBLE
dense_100,6,10,3,237998.977064,0,57.000000,FEASIBLE
dense_100,6,10,4,238728.805479,0,57.000000,FEASIBLE
dense_100,6,11,0,237370.004366,0,59.000000,FEASIBLE
dense_100,6,11,1,236182.862120,0,64.000000,FEASIBLE
dense_100,6,11,2,236214.840162,0,60.000000,FEASIBLE
dense_100,6,11,3,237599.606389,0,61.000000,FEASIBLE
dense_100,6,11,4,236151.169224,0,62.000000,FEASIBLE
dense_100,7,10,0,242743.239874,0,65.000000,FEASIBLE
dense_100,7,10,1,245569.785518,0,65.000000,FEASIBLE
dense_100,7,10,2,243324.813067,0,64.000000,FEASIBLE
dense_100,7,10,3,245958.574245,0,64.000000,FEASIBLE
dense_100,7,10,4,245416.423615,0,65.000000,FEASIBLE
dense_100,7,11,0,244293.387822,0,64.000000,FEASIBLE
dense_100,7,11,1,244560.094612,0,65.000000,FEASIBLE
dense_100,7,11,2,243752.642280,0,66.000000,FEASIBLE
dense_100,7,11,3,245244.008709,0,64.000000,FEASIBLE
dense_100,7,11,4,242502.917506,0,65.000000,FEASIBLE
dense_100,8,10,0,249332.259346,0,72.000000,FEASIBLE
dense_100,8,10,1,249860.041621,0,74.000000,FEASIBLE
dense_100,8,10,2,250134.047922,0,74.000000,FEASIBLE
dense_100,8,10,3,250058.673381,0,73.000000,FEASIBLE
dense_100,8,10,4,250068.751302,0,73.000000,FEASIBLE
dense_100,8,11,0,249634.217911,0,72.000000,FEASIBLE
dense_100,8,11,1,247979.963429,0,73.000000,FEASIBLE
dense_100,8,11,2,247851.749711,0,73.000000,FEASIBLE
dense_100,8,11,3,247875.237590,0,73.000000,FEASIBLE
dense_100,8,11,4,247608.634519,0,78.000000,FEASIBLE
dense_200,6,10,0,979457.921812,0,487.000000,FEASIBLE
dense_200,6,10,1,980667.091694,0,486.000000,FEASIBLE
dense_200,6,10,2,975579.842182,0,484.000000,FEASIBLE
dense_200,6,10,3,977969.809302,0,496.000000,FEASIBLE
dense_200,6,10,4,980156.428553,0,488.000000,FEASIBLE
