data,k,alpha,run idx,result,violation,time, status
dense_80,6,10,0,149517.057661,0,122.000000,FEASIBLE
dense_80,6,10,1,150706.307438,0,55.000000,FEASIBLE
dense_80,6,10,2,149162.185819,0,53.000000,FEASIBLE
dense_80,6,10,3,149278.992292,0,47.000000,FEASIBLE
dense_80,6,10,4,149758.802112,0,73.000000,FEASIBLE
dense_80,6,11,0,149669.569294,0,61.000000,FEASIBLE
dense_80,6,11,1,149546.191223,0,73.000000,FEASIBLE
dense_80,6,11,2,149832.012515,0,44.000000,FEASIBLE
dense_80,6,11,3,148938.171159,0,41.000000,FEASIBLE
dense_80,6,11,4,148954.110561,0,48.000000,FEASIBLE
dense_80,7,10,0,154371.594595,0,46.000000,FEASIBLE
dense_80,7,10,1,153550.986551,0,45.000000,FEASIBLE
dense_80,7,10,2,153813.863434,0,44.000000,FEASIBLE
dense_80,7,10,3,154115.562244,0,45.000000,FEASIBLE
dense_80,7,10,4,154082.356283,0,45.000000,FEASIBLE
dense_80,7,11,0,153648.338782,0,45.000000,FEASIBLE
dense_80,7,11,1,152944.050502,0,44.000000,FEASIBLE
dense_80,7,11,2,153587.814362,0,45.000000,FEASIBLE
dense_80,7,11,3,152713.220074,0,46.000000,FEASIBLE
dense_80,7,11,4,152584.982176,0,45.000000,FEASIBLE
dense_80,8,10,0,155784.029433,0,52.000000,FEASIBLE
dense_80,8,10,1,156095.232350,0,50.000000,FEASIBLE
dense_80,8,10,2,157769.106540,0,51.000000,FEASIBLE
dense_80,8,10,3,158383.537915,0,51.000000,FEASIBLE
dense_80,8,10,4,156502.043689,0,51.000000,FEASIBLE
dense_80,8,11,0,155872.177735,0,51.000000,FEASIBLE
dense_80,8,11,1,156127.285759,0,50.000000,FEASIBLE
dense_80,8,11,2,157151.529706,0,52.000000,FEASIBLE
dense_80,8,11,3,155887.521694,0,51.000000,FEASIBLE
dense_80,8,11,4,156148.195697,0,54.000000,FEASIBLE
dense_85,6,10,0,171381.035734,0,59.000000,FEASIBLE
