data,k,alpha,run idx,result,violation,time, status
dense_40,4,5,0,32957.737025,0,141.000000,FEASIBLE
dense_40,4,5,1,33054.705243,0,37.000000,FEASIBLE
dense_40,4,5,2,32876.882882,0,90.000000,FEASIBLE
dense_40,4,5,3,32886.183087,0,26.000000,FEASIBLE
dense_40,4,5,4,32953.564556,0,34.000000,FEASIBLE
dense_40,4,6,0,32560.501754,0,31.000000,FEASIBLE
dense_40,4,6,1,32473.526515,0,42.000000,FEASIBLE
dense_40,4,6,2,32570.609869,0,69.000000,FEASIBLE
dense_40,4,6,3,32541.946432,0,36.000000,FEASIBLE
dense_40,4,6,4,32633.159954,0,28.000000,FEASIBLE
dense_40,5,5,0,35210.715361,0,29.000000,FEASIBLE
dense_40,5,5,1,35194.495764,0,19.000000,FEASIBLE
dense_40,5,5,2,35124.721398,0,29.000000,FEASIBLE
dense_40,5,5,3,35343.683386,0,43.000000,FEASIBLE
dense_40,5,5,4,35225.653520,0,24.000000,FEASIBLE
dense_40,5,6,0,35061.558335,0,38.000000,FEASIBLE
dense_40,5,6,1,34897.310128,0,40.000000,FEASIBLE
dense_40,5,6,2,35084.292144,0,21.000000,FEASIBLE
dense_40,5,6,3,34866.060793,0,47.000000,FEASIBLE
dense_40,5,6,4,34974.510794,0,32.000000,FEASIBLE
dense_40,6,5,0,36658.849902,0,34.000000,FEASIBLE
dense_40,6,5,1,36859.952818,0,26.000000,FEASIBLE
dense_40,6,5,2,37582.531334,0,40.000000,FEASIBLE
dense_40,6,5,3,36679.688275,0,42.000000,FEASIBLE
dense_40,6,5,4,36829.601930,0,32.000000,FEASIBLE
dense_40,6,6,0,36529.829288,0,31.000000,FEASIBLE
dense_40,6,6,1,36468.807057,0,31.000000,FEASIBLE
dense_40,6,6,2,36560.237150,0,39.000000,FEASIBLE
dense_40,6,6,3,36441.246717,0,99.000000,FEASIBLE
dense_40,6,6,4,36517.215565,0,44.000000,FEASIBLE
dense_45,4,5,0,42920.989859,0,37.000000,FEASIBLE
dense_45,4,5,1,42962.310250,0,33.000000,FEASIBLE
dense_45,4,5,2,43217.383957,0,25.000000,FEASIBLE
dense_45,4,5,3,43240.183124,0,19.000000,FEASIBLE
dense_45,4,5,4,42782.379515,0,16.000000,FEASIBLE
dense_45,4,6,0,43317.697305,0,15.000000,FEASIBLE
dense_45,4,6,1,43191.442905,0,12.000000,FEASIBLE
dense_45,4,6,2,43276.818842,0,17.000000,FEASIBLE
dense_45,4,6,3,43497.070023,0,17.000000,FEASIBLE
dense_45,4,6,4,43478.924796,0,16.000000,FEASIBLE
dense_45,5,5,0,45706.609590,0,22.000000,FEASIBLE
dense_45,5,5,1,45953.769034,0,22.000000,FEASIBLE
dense_45,5,5,2,45539.344947,0,23.000000,FEASIBLE
dense_45,5,5,3,45819.528414,0,20.000000,FEASIBLE
dense_45,5,5,4,45815.597595,0,29.000000,FEASIBLE
dense_45,5,6,0,45695.876065,0,21.000000,FEASIBLE
dense_45,5,6,1,45442.630403,0,14.000000,FEASIBLE
dense_45,5,6,2,45610.890467,0,11.000000,FEASIBLE
dense_45,5,6,3,45520.647440,0,19.000000,FEASIBLE
dense_45,5,6,4,45608.894873,0,15.000000,FEASIBLE
dense_45,6,5,0,48043.202261,0,20.000000,FEASIBLE
dense_45,6,5,1,47813.672508,0,25.000000,FEASIBLE
dense_45,6,5,2,47725.265262,0,26.000000,FEASIBLE
dense_45,6,5,3,47540.159076,0,20.000000,FEASIBLE
dense_45,6,5,4,47968.713672,0,27.000000,FEASIBLE
dense_45,6,6,0,47728.445163,0,27.000000,FEASIBLE
dense_45,6,6,1,47493.371285,0,22.000000,FEASIBLE
dense_45,6,6,2,47460.581832,0,27.000000,FEASIBLE
dense_45,6,6,3,47500.415203,0,19.000000,FEASIBLE
dense_45,6,6,4,47542.770165,0,30.000000,FEASIBLE
dense_50,4,5,0,52661.021250,0,45.000000,FEASIBLE
dense_50,4,5,1,52717.796397,0,23.000000,FEASIBLE
dense_50,4,5,2,52657.003964,0,18.000000,FEASIBLE
dense_50,4,5,3,52767.742651,0,11.000000,FEASIBLE
dense_50,4,5,4,52921.557759,0,16.000000,FEASIBLE
dense_50,4,6,0,52883.014716,0,18.000000,FEASIBLE
dense_50,4,6,1,53373.288980,0,24.000000,FEASIBLE
