data,k,alpha,run idx,result,violation,time, status
V_62_E_1891_pearson,2,4,0,290.043428,0,71.000000,FEASIBLE
V_62_E_1891_pearson,2,4,1,290.043428,0,20.000000,FEASIBLE
V_62_E_1891_pearson,2,4,2,290.043428,0,12.000000,FEASIBLE
V_62_E_1891_pearson,2,4,3,290.043428,0,12.000000,FEASIBLE
V_62_E_1891_pearson,2,4,4,290.043428,0,14.000000,FEASIBLE
V_62_E_1891_pearson,2,5,0,290.043428,0,14.000000,FEASIBLE
V_62_E_1891_pearson,2,5,1,290.043428,0,15.000000,FEASIBLE
V_62_E_1891_pearson,2,5,2,290.043428,0,13.000000,FEASIBLE
V_62_E_1891_pearson,2,5,3,290.043428,0,20.000000,FEASIBLE
V_62_E_1891_pearson,2,5,4,290.043428,0,25.000000,FEASIBLE
V_62_E_1891_pearson,3,4,0,400.301330,0,25.000000,FEASIBLE
V_62_E_1891_pearson,3,4,1,401.451544,0,30.000000,FEASIBLE
V_62_E_1891_pearson,3,4,2,398.655821,0,25.000000,FEASIBLE
V_62_E_1891_pearson,3,4,3,402.319225,0,25.000000,FEASIBLE
V_62_E_1891_pearson,3,4,4,400.746315,0,26.000000,FEASIBLE
V_62_E_1891_pearson,3,5,0,403.683626,0,27.000000,FEASIBLE
V_62_E_1891_pearson,3,5,1,403.645701,0,26.000000,FEASIBLE
V_62_E_1891_pearson,3,5,2,399.442012,0,21.000000,FEASIBLE
V_62_E_1891_pearson,3,5,3,405.856444,0,11.000000,FEASIBLE
V_62_E_1891_pearson,3,5,4,401.074604,0,13.000000,FEASIBLE
V_62_E_1891_pearson,5,4,0,491.275310,0,18.000000,FEASIBLE
V_62_E_1891_pearson,5,4,1,491.472514,0,14.000000,FEASIBLE
V_62_E_1891_pearson,5,4,2,499.885885,0,14.000000,FEASIBLE
V_62_E_1891_pearson,5,4,3,497.026315,0,15.000000,FEASIBLE
V_62_E_1891_pearson,5,4,4,496.476612,0,16.000000,FEASIBLE
V_62_E_1891_pearson,5,5,0,493.955513,0,15.000000,FEASIBLE
V_62_E_1891_pearson,5,5,1,488.769391,0,16.000000,FEASIBLE
V_62_E_1891_pearson,5,5,2,497.218739,0,17.000000,FEASIBLE
V_62_E_1891_pearson,5,5,3,491.052033,0,20.000000,FEASIBLE
V_62_E_1891_pearson,5,5,4,489.533701,0,30.000000,FEASIBLE
V_62_E_1891_pearson,7,4,0,530.394845,0,39.000000,FEASIBLE
V_62_E_1891_pearson,7,4,1,532.628744,0,39.000000,FEASIBLE
V_62_E_1891_pearson,7,4,2,531.410842,0,24.000000,FEASIBLE
V_62_E_1891_pearson,7,4,3,535.216515,0,24.000000,FEASIBLE
V_62_E_1891_pearson,7,4,4,531.633967,0,20.000000,FEASIBLE
V_62_E_1891_pearson,7,5,0,527.399071,0,21.000000,FEASIBLE
V_62_E_1891_pearson,7,5,1,527.275062,0,20.000000,FEASIBLE
V_62_E_1891_pearson,7,5,2,532.231014,0,27.000000,FEASIBLE
V_62_E_1891_pearson,7,5,3,530.535801,0,23.000000,FEASIBLE
V_62_E_1891_pearson,7,5,4,529.607585,0,34.000000,FEASIBLE
V_62_E_1891_distance,2,4,0,1091.552148,0,8.000000,FEASIBLE
V_62_E_1891_distance,2,4,1,1091.420523,0,7.000000,FEASIBLE
V_62_E_1891_distance,2,4,2,1091.498702,0,6.000000,FEASIBLE
V_62_E_1891_distance,2,4,3,1091.692638,0,7.000000,FEASIBLE
V_62_E_1891_distance,2,4,4,1091.479394,0,7.000000,FEASIBLE
V_62_E_1891_distance,2,5,0,1091.436897,0,6.000000,FEASIBLE
V_62_E_1891_distance,2,5,1,1091.429575,0,6.000000,FEASIBLE
V_62_E_1891_distance,2,5,2,1091.604250,0,7.000000,FEASIBLE
V_62_E_1891_distance,2,5,3,1091.709795,0,6.000000,FEASIBLE
V_62_E_1891_distance,2,5,4,1091.924110,0,11.000000,FEASIBLE
V_62_E_1891_distance,3,4,0,1456.817931,0,9.000000,FEASIBLE
