data,k,alpha,run idx,result,violation,time, status
dense_10,2,1,0,1314.418992,0,20.000000,FEASIBLE
dense_10,2,1,1,1314.418992,0,6.000000,FEASIBLE
dense_10,2,1,2,1314.418992,0,4.000000,FEASIBLE
dense_10,2,1,3,1314.418992,0,9.000000,FEASIBLE
dense_10,2,1,4,1314.418992,0,11.000000,FEASIBLE
dense_10,2,2,0,1262.515724,0,8.000000,FEASIBLE
dense_10,2,2,1,1262.515724,0,4.000000,FEASIBLE
dense_10,2,2,2,1262.515724,0,2.000000,FEASIBLE
dense_10,2,2,3,1262.515724,0,3.000000,FEASIBLE
dense_10,2,2,4,1262.515724,0,1.000000,FEASIBLE
dense_15,2,1,0,3008.096229,0,6.000000,FEASIBLE
dense_15,2,1,1,3008.096229,0,3.000000,FEASIBLE
dense_15,2,1,2,3008.096229,0,3.000000,FEASIBLE
dense_15,2,1,3,3008.096229,0,2.000000,FEASIBLE
dense_15,2,1,4,3008.096229,0,2.000000,FEASIBLE
dense_15,2,2,0,3008.096229,0,3.000000,FEASIBLE
dense_15,2,2,1,3008.096229,0,2.000000,FEASIBLE
dense_15,2,2,2,3008.096229,0,2.000000,FEASIBLE
dense_15,2,2,3,3008.096229,0,2.000000,FEASIBLE
dense_15,2,2,4,3008.096229,0,2.000000,FEASIBLE
dense_20,2,1,0,5528.936319,0,9.000000,FEASIBLE
dense_20,2,1,1,5511.278983,0,4.000000,FEASIBLE
dense_20,2,1,2,5528.936319,0,3.000000,FEASIBLE
dense_20,2,1,3,5511.278983,0,16.000000,FEASIBLE
dense_20,2,1,4,5511.278983,0,2.000000,FEASIBLE
dense_20,2,2,0,5432.470939,0,8.000000,FEASIBLE
dense_20,2,2,1,5424.211632,0,5.000000,FEASIBLE
dense_20,2,2,2,5424.211632,0,5.000000,FEASIBLE
dense_20,2,2,3,5424.211632,0,3.000000,FEASIBLE
dense_20,2,2,4,5424.211632,0,3.000000,FEASIBLE
dense_25,2,1,0,8041.271310,0,6.000000,FEASIBLE
dense_25,2,1,1,8041.271310,0,3.000000,FEASIBLE
dense_25,2,1,2,8041.271310,0,4.000000,FEASIBLE
dense_25,2,1,3,8041.271310,0,6.000000,FEASIBLE
dense_25,2,1,4,8041.271310,0,5.000000,FEASIBLE
dense_25,2,2,0,8041.271310,0,4.000000,FEASIBLE
dense_25,2,2,1,8041.271310,0,4.000000,FEASIBLE
dense_25,2,2,2,8041.271310,0,3.000000,FEASIBLE
dense_25,2,2,3,8041.271310,0,23.000000,FEASIBLE
dense_25,2,2,4,8041.271310,0,10.000000,FEASIBLE
dense_30,2,1,0,12338.142798,0,9.000000,FEASIBLE
dense_30,2,1,1,12338.142798,0,6.000000,FEASIBLE
dense_30,2,1,2,12338.142798,0,3.000000,FEASIBLE
dense_30,2,1,3,12338.142798,0,7.000000,FEASIBLE
dense_30,2,1,4,12338.142798,0,8.000000,FEASIBLE
dense_30,2,2,0,12216.229750,0,7.000000,FEASIBLE
dense_30,2,2,1,12216.229750,0,4.000000,FEASIBLE
dense_30,2,2,2,12216.229750,0,6.000000,FEASIBLE
dense_30,2,2,3,12445.487544,0,17.000000,FEASIBLE
dense_30,2,2,4,12216.229750,0,3.000000,FEASIBLE
dense_35,2,1,0,16742.490208,0,5.000000,FEASIBLE
dense_35,2,1,1,16901.622561,0,13.000000,FEASIBLE
dense_35,2,1,2,16742.490208,0,7.000000,FEASIBLE
dense_35,2,1,3,16902.402022,0,9.000000,FEASIBLE
dense_35,2,1,4,16742.490208,0,3.000000,FEASIBLE
dense_35,2,2,0,16742.490208,0,7.000000,FEASIBLE
dense_35,2,2,1,16895.163225,0,4.000000,FEASIBLE
dense_35,2,2,2,16902.402022,0,6.000000,FEASIBLE
dense_35,2,2,3,16742.490208,0,5.000000,FEASIBLE
dense_35,2,2,4,16901.622561,0,3.000000,FEASIBLE
dense_5,2,1,0,269.640265,0,0.000000,FEASIBLE
dense_5,2,1,1,269.640265,0,1.000000,FEASIBLE
dense_5,2,1,2,269.640265,0,0.000000,FEASIBLE
dense_5,2,1,3,269.640265,0,2.000000,FEASIBLE
dense_5,2,1,4,269.640265,0,0.000000,FEASIBLE
dense_5,2,2,0,269.640265,0,10.000000,FEASIBLE
dense_5,2,2,1,269.640265,0,3.000000,FEASIBLE
dense_5,2,2,2,269.640265,0,6.000000,FEASIBLE
dense_5,2,2,3,269.640265,0,0.000000,FEASIBLE
dense_5,2,2,4,269.640265,0,0.000000,FEASIBLE
